timestamp,tx0_k0,tx0_k1,tx0_k2,tx0_k3,tx0_k4,tx1_k0,tx1_k1,tx1_k2,tx1_k3,tx1_k4,tx2_k0,tx2_k1,tx2_k2,tx2_k3,tx2_k4,tx3_k0,tx3_k1,tx3_k2,tx3_k3,tx3_k4,tx4_k0,tx4_k1,tx4_k2,tx4_k3,tx4_k4,tx5_k0,tx5_k1,tx5_k2,tx5_k3,tx5_k4,tx6_k0,tx6_k1,tx6_k2,tx6_k3,tx6_k4,tx7_k0,tx7_k1,tx7_k2,tx7_k3,tx7_k4
1777273613.073497,0.199800,0.090200,0.064500,0.030100,0.178300,0.593000,0.270700,0.043000,0.023600,0.105300,0.290000,0.034400,0.023600,0.027900,0.075200,0.055900,0.019300,0.027900,0.036500,0.244900,0.077300,0.027900,0.036500,0.257800,0.567200,0.197700,0.032200,0.060200,0.053700,0.251400,0.197700,0.053700,0.058000,0.079500,0.193400,0.223400,0.060200,0.053700,0.103100,0.182600
1777273613.557436,0.199800,0.090200,0.064500,0.030100,0.178300,0.590800,0.272900,0.025800,0.025800,0.118200,0.287900,0.040800,0.032200,0.021500,0.062300,0.062300,0.027900,0.021500,0.047300,0.244900,0.083800,0.034400,0.036500,0.264300,0.560700,0.197700,0.032200,0.053700,0.055900,0.253500,0.197700,0.053700,0.058000,0.079500,0.193400,0.223400,0.055900,0.058000,0.103100,0.184800
1777273614.041389,0.199800,0.090200,0.062300,0.030100,0.178300,0.595100,0.272900,0.027900,0.034400,0.116000,0.285700,0.023600,0.010700,0.023600,0.058000,0.058000,0.043000,0.025800,0.017200,0.238500,0.083800,0.025800,0.034400,0.253500,0.569300,0.197700,0.030100,0.049400,0.051600,0.251400,0.197700,0.053700,0.058000,0.079500,0.193400,0.223400,0.055900,0.058000,0.103100,0.182600
1777273614.525013,0.199800,0.090200,0.064500,0.032200,0.178300,0.599400,0.270700,0.034400,0.019300,0.111700,0.285700,0.060200,0.023600,0.012900,0.062300,0.051600,0.032200,0.034400,0.034400,0.236300,0.081600,0.027900,0.034400,0.253500,0.573600,0.197700,0.032200,0.055900,0.055900,0.251400,0.197700,0.055900,0.055900,0.079500,0.193400,0.223400,0.058000,0.055900,0.103100,0.184800
1777273615.008375,0.199800,0.090200,0.064500,0.030100,0.178300,0.597300,0.270700,0.045100,0.019300,0.109600,0.285700,0.036500,0.036500,0.040800,0.058000,0.051600,0.030100,0.025800,0.034400,0.244900,0.079500,0.032200,0.032200,0.251400,0.569300,0.195500,0.032200,0.053700,0.058000,0.251400,0.197700,0.055900,0.060200,0.079500,0.193400,0.221300,0.055900,0.055900,0.103100,0.182600
1777273615.491738,0.199800,0.090200,0.064500,0.030100,0.178300,0.593000,0.272900,0.051600,0.021500,0.107400,0.287900,0.021500,0.027900,0.017200,0.073000,0.058000,0.040800,0.019300,0.027900,0.244900,0.077300,0.027900,0.034400,0.260000,0.567200,0.197700,0.032200,0.049400,0.055900,0.251400,0.197700,0.055900,0.060200,0.079500,0.193400,0.223400,0.055900,0.060200,0.103100,0.184800
1777273615.977260,0.199800,0.090200,0.064500,0.030100,0.178300,0.595100,0.272900,0.027900,0.025800,0.118200,0.285700,0.051600,0.058000,0.032200,0.058000,0.062300,0.015000,0.030100,0.034400,0.242800,0.088100,0.038700,0.036500,0.257800,0.569300,0.197700,0.032200,0.053700,0.055900,0.253500,0.197700,0.053700,0.055900,0.079500,0.193400,0.223400,0.060200,0.051600,0.103100,0.182600
1777273616.461194,0.199800,0.090200,0.064500,0.030100,0.178300,0.599400,0.270700,0.025800,0.021500,0.111700,0.283600,0.045100,0.040800,0.017200,0.058000,0.049400,0.058000,0.017200,0.025800,0.242800,0.081600,0.027900,0.032200,0.253500,0.567200,0.195500,0.032200,0.055900,0.053700,0.253500,0.197700,0.053700,0.060200,0.079500,0.193400,0.223400,0.055900,0.055900,0.103100,0.182600
1777273616.944982,0.199800,0.090200,0.066600,0.030100,0.178300,0.595100,0.272900,0.040800,0.025800,0.107400,0.287900,0.017200,0.012900,0.047300,0.068700,0.055900,0.023600,0.036500,0.038700,0.244900,0.079500,0.045100,0.045100,0.262100,0.565000,0.197700,0.030100,0.058000,0.053700,0.251400,0.197700,0.053700,0.062300,0.079500,0.195500,0.223400,0.055900,0.060200,0.103100,0.182600
1777273617.429159,0.199800,0.090200,0.064500,0.032200,0.178300,0.597300,0.277100,0.055900,0.027900,0.118200,0.287900,0.034400,0.023600,0.021500,0.058000,0.058000,0.021500,0.021500,0.047300,0.240600,0.085900,0.032200,0.034400,0.257800,0.571500,0.195500,0.032200,0.051600,0.055900,0.251400,0.197700,0.053700,0.062300,0.079500,0.193400,0.223400,0.058000,0.058000,0.103100,0.182600
1777273617.913106,0.199800,0.090200,0.066600,0.030100,0.178300,0.603700,0.272900,0.027900,0.030100,0.111700,0.285700,0.058000,0.030100,0.027900,0.060200,0.053700,0.015000,0.036500,0.019300,0.240600,0.083800,0.027900,0.034400,0.253500,0.573600,0.197700,0.030100,0.053700,0.053700,0.251400,0.197700,0.055900,0.060200,0.079500,0.193400,0.223400,0.058000,0.049400,0.103100,0.184800
1777273618.397109,0.199800,0.090200,0.066600,0.030100,0.178300,0.595100,0.270700,0.043000,0.021500,0.107400,0.290000,0.032200,0.019300,0.047300,0.075200,0.055900,0.027900,0.008600,0.034400,0.242800,0.077300,0.040800,0.038700,0.257800,0.567200,0.197700,0.032200,0.053700,0.051600,0.251400,0.197700,0.055900,0.060200,0.079500,0.193400,0.223400,0.058000,0.051600,0.103100,0.182600
1777273618.880950,0.202000,0.090200,0.064500,0.030100,0.178300,0.593000,0.277100,0.043000,0.032200,0.120300,0.287900,0.047300,0.036500,0.025800,0.062300,0.058000,0.032200,0.025800,0.034400,0.244900,0.083800,0.027900,0.036500,0.260000,0.569300,0.197700,0.032200,0.049400,0.055900,0.251400,0.197700,0.055900,0.053700,0.081600,0.193400,0.223400,0.055900,0.053700,0.103100,0.182600
1777273619.364893,0.199800,0.090200,0.066600,0.030100,0.178300,0.597300,0.279300,0.062300,0.032200,0.118200,0.287900,0.049400,0.047300,0.030100,0.055900,0.060200,0.012900,0.015000,0.038700,0.238500,0.090200,0.027900,0.032200,0.255700,0.571500,0.197700,0.032200,0.060200,0.058000,0.251400,0.197700,0.053700,0.062300,0.081600,0.193400,0.223400,0.055900,0.049400,0.105300,0.182600
1777273619.846198,0.199800,0.090200,0.066600,0.030100,0.178300,0.599400,0.279300,0.058000,0.015000,0.118200,0.292200,0.036500,0.040800,0.030100,0.062300,0.055900,0.045100,0.025800,0.021500,0.238500,0.085900,0.032200,0.032200,0.253500,0.569300,0.197700,0.030100,0.060200,0.060200,0.251400,0.197700,0.055900,0.055900,0.081600,0.193400,0.223400,0.058000,0.049400,0.103100,0.184800
1777273620.329845,0.199800,0.090200,0.064500,0.030100,0.178300,0.599400,0.270700,0.025800,0.019300,0.109600,0.283600,0.034400,0.032200,0.040800,0.068700,0.055900,0.032200,0.025800,0.025800,0.244900,0.081600,0.047300,0.045100,0.257800,0.569300,0.197700,0.032200,0.060200,0.055900,0.251400,0.197700,0.055900,0.058000,0.079500,0.193400,0.223400,0.058000,0.055900,0.103100,0.182600
1777273620.815801,0.202000,0.090200,0.064500,0.030100,0.178300,0.595100,0.275000,0.032200,0.023600,0.120300,0.290000,0.043000,0.027900,0.023600,0.060200,0.060200,0.025800,0.019300,0.038700,0.247100,0.083800,0.025800,0.034400,0.262100,0.571500,0.197700,0.032200,0.049400,0.055900,0.251400,0.197700,0.053700,0.055900,0.079500,0.193400,0.223400,0.058000,0.053700,0.103100,0.182600
1777273621.300713,0.199800,0.088100,0.064500,0.030100,0.178300,0.595100,0.275000,0.045100,0.036500,0.116000,0.285700,0.032200,0.025800,0.025800,0.058000,0.058000,0.030100,0.025800,0.015000,0.238500,0.083800,0.025800,0.034400,0.253500,0.571500,0.197700,0.030100,0.062300,0.051600,0.251400,0.197700,0.055900,0.053700,0.081600,0.195500,0.223400,0.055900,0.053700,0.103100,0.182600
1777273621.784500,0.202000,0.090200,0.066600,0.030100,0.178300,0.597300,0.272900,0.025800,0.021500,0.109600,0.283600,0.049400,0.032200,0.040800,0.064500,0.055900,0.030100,0.021500,0.032200,0.244900,0.081600,0.047300,0.047300,0.262100,0.569300,0.197700,0.030100,0.053700,0.055900,0.251400,0.197700,0.053700,0.060200,0.081600,0.193400,0.223400,0.060200,0.055900,0.103100,0.182600
1777273622.266991,0.202000,0.090200,0.066600,0.030100,0.178300,0.595100,0.270700,0.045100,0.038700,0.118200,0.292200,0.043000,0.032200,0.017200,0.064500,0.055900,0.043000,0.036500,0.034400,0.247100,0.073000,0.032200,0.034400,0.262100,0.562900,0.197700,0.032200,0.058000,0.060200,0.251400,0.197700,0.055900,0.062300,0.081600,0.193400,0.223400,0.055900,0.051600,0.103100,0.182600
1777273622.752115,0.202000,0.090200,0.064500,0.030100,0.178300,0.595100,0.275000,0.025800,0.023600,0.116000,0.290000,0.040800,0.017200,0.017200,0.064500,0.060200,0.027900,0.030100,0.045100,0.249200,0.083800,0.030100,0.034400,0.266400,0.562900,0.197700,0.034400,0.058000,0.058000,0.251400,0.197700,0.055900,0.066600,0.081600,0.193400,0.223400,0.055900,0.055900,0.103100,0.182600
1777273623.235597,0.202000,0.090200,0.066600,0.030100,0.178300,0.597300,0.277100,0.027900,0.017200,0.120300,0.290000,0.036500,0.034400,0.038700,0.066600,0.055900,0.021500,0.017200,0.034400,0.242800,0.083800,0.025800,0.034400,0.257800,0.569300,0.197700,0.030100,0.051600,0.055900,0.251400,0.197700,0.055900,0.058000,0.081600,0.193400,0.223400,0.055900,0.055900,0.103100,0.182600
1777273623.720053,0.202000,0.088100,0.064500,0.030100,0.178300,0.601600,0.272900,0.032200,0.021500,0.109600,0.283600,0.053700,0.023600,0.021500,0.062300,0.051600,0.010700,0.043000,0.027900,0.238500,0.083800,0.034400,0.034400,0.253500,0.573600,0.197700,0.032200,0.055900,0.055900,0.251400,0.197700,0.055900,0.058000,0.081600,0.195500,0.223400,0.055900,0.055900,0.103100,0.184800
